feature,count,freq
submand__sym__max__dose__original_firstorder_Energy,1,0.2
submand__sym__max__dose__original_firstorder_TotalEnergy,1,0.2
submand__sym__max__dose__original_glcm_Idn,1,0.2
submand__sym__max__dose__original_glcm_MCC,1,0.2
submand__sym__max__dose__original_glrlm_RunLengthNonUniformity,1,0.2
submand__sym__max__dose__original_shape_Maximum2DDiameterSlice,1,0.2
submand__sym__max__dose__wavelet-HHH_glszm_ZoneVariance,1,0.2
submand__sym__max__dose__wavelet-HLH_glszm_ZoneVariance,1,0.2
submand__sym__max__dose__wavelet-HLL_glcm_Imc1,1,0.2
submand__sym__max__dose__wavelet-LHH_glszm_ZoneVariance,1,0.2
submand__sym__max__dose__wavelet-LHL_glcm_Correlation,1,0.2
submand__sym__max__dose__wavelet-LLH_ngtdm_Contrast,1,0.2
submand__sym__max__dose__wavelet-LLL_firstorder_90Percentile,1,0.2
submand__sym__max__dose__wavelet-LLL_firstorder_Energy,1,0.2
submand__sym__max__dose__wavelet-LLL_firstorder_TotalEnergy,1,0.2
submand__sym__max__dose__wavelet-LLL_glszm_ZoneEntropy,1,0.2
submand__sym__mean__dose__original_glszm_SmallAreaHighGrayLevelEmphasis,1,0.2
submand__sym__mean__dose__wavelet-HLL_gldm_SmallDependenceLowGrayLevelEmphasis,1,0.2
submand__sym__mean__dose__wavelet-LHL_glcm_Correlation,1,0.2
submand__sym__mean__dose__wavelet-LLH_glcm_Idmn,1,0.2
submand__sym__min__dose__log-sigma-2-0-mm-3D_glszm_GrayLevelNonUniformity,1,0.2
submand__sym__min__dose__log-sigma-3-0-mm-3D_glcm_DifferenceVariance,1,0.2
submand__sym__min__dose__log-sigma-3-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,1,0.2
submand__sym__min__dose__original_glszm_SmallAreaHighGrayLevelEmphasis,1,0.2
submand__sym__min__dose__original_ngtdm_Strength,1,0.2
submand__sym__min__dose__wavelet-HHH_glszm_LargeAreaLowGrayLevelEmphasis,1,0.2
submand__sym__min__dose__wavelet-HHL_gldm_SmallDependenceLowGrayLevelEmphasis,1,0.2
submand__sym__min__dose__wavelet-HLH_glszm_GrayLevelVariance,1,0.2
submand__sym__min__dose__wavelet-HLL_glcm_Correlation,1,0.2
submand__sym__min__dose__wavelet-HLL_gldm_SmallDependenceLowGrayLevelEmphasis,1,0.2
submand__sym__min__dose__wavelet-LHH_glszm_LargeAreaLowGrayLevelEmphasis,1,0.2
submand__sym__min__dose__wavelet-LHL_firstorder_Skewness,1,0.2
submand__sym__min__dose__wavelet-LHL_ngtdm_Coarseness,1,0.2
submand__sym__min__dose__wavelet-LLH_glszm_SmallAreaLowGrayLevelEmphasis,1,0.2
submand__sym__reldiff__dose__original_firstorder_Skewness,1,0.2
submand__sym__reldiff__dose__original_glrlm_LongRunLowGrayLevelEmphasis,1,0.2
submand__sym__reldiff__dose__original_glrlm_ShortRunLowGrayLevelEmphasis,1,0.2
submand__sym__reldiff__dose__original_glszm_LargeAreaHighGrayLevelEmphasis,1,0.2
submand__sym__reldiff__dose__original_glszm_LowGrayLevelZoneEmphasis,1,0.2
